,MAE,RMSE,NRMSE,Avg RMSE,MAPE (%),Accuracy (%),BIC
SARIMA,10390.552920044009,12825.6318308929,0.4673553121339832,1068.8026525744083,147.16003978739954,-47.16003978739954,239.44535567435184
ETS (Holt-Winters),8222.843702442084,10297.181026048493,0.375220676531301,858.0984188373744,83.61791760816925,16.38208239183075,246.60007729709412
Prophet,10337.409327205462,12777.85095211469,0.4656142168172098,1064.8209126762242,204.83731616476274,-104.83731616476274,251.78031185820015
XGBoost,10322.893839518229,12321.1841349634,0.4489736594017928,1026.7653445802832,142.66294917413705,-42.662949174137054,255.87668813312882
